1.000,619.000,42.000,2.000,0.000,1.000,1.000,1.000,101348.880
0.000,608.000,41.000,1.000,83807.860,1.000,0.000,1.000,112542.580
1.000,502.000,42.000,8.000,159660.800,3.000,1.000,0.000,113931.570
0.000,699.000,39.000,1.000,0.000,2.000,0.000,0.000,93826.630
0.000,850.000,43.000,2.000,125510.820,1.000,1.000,1.000,79084.100
1.000,645.000,44.000,8.000,113755.780,2.000,1.000,0.000,149756.710
0.000,822.000,50.000,7.000,0.000,2.000,1.000,1.000,10062.800
1.000,376.000,29.000,4.000,115046.740,4.000,1.000,0.000,119346.880
0.000,501.000,44.000,4.000,142051.070,2.000,0.000,1.000,74940.500
0.000,684.000,27.000,2.000,134603.880,1.000,1.000,1.000,71725.730
0.000,528.000,31.000,6.000,102016.720,2.000,0.000,0.000,80181.120
0.000,497.000,24.000,3.000,0.000,2.000,1.000,0.000,76390.010
0.000,476.000,34.000,10.000,0.000,2.000,1.000,0.000,26260.980
0.000,549.000,25.000,5.000,0.000,2.000,0.000,0.000,190857.790
0.000,635.000,35.000,7.000,0.000,2.000,1.000,1.000,65951.650
0.000,616.000,45.000,3.000,143129.410,2.000,0.000,1.000,64327.260
1.000,653.000,58.000,1.000,132602.880,1.000,1.000,0.000,5097.670
0.000,549.000,24.000,9.000,0.000,2.000,1.000,1.000,14406.410
0.000,587.000,45.000,6.000,0.000,1.000,0.000,0.000,158684.810
0.000,726.000,24.000,6.000,0.000,2.000,1.000,1.000,54724.030
0.000,732.000,41.000,8.000,0.000,2.000,1.000,1.000,170886.170
0.000,636.000,32.000,8.000,0.000,2.000,1.000,0.000,138555.460
1.000,510.000,38.000,4.000,0.000,1.000,1.000,0.000,118913.530
0.000,669.000,46.000,3.000,0.000,2.000,0.000,1.000,8487.750
0.000,846.000,38.000,5.000,0.000,1.000,1.000,1.000,187616.160
0.000,577.000,25.000,3.000,0.000,2.000,0.000,1.000,124508.290
0.000,756.000,36.000,2.000,136815.640,1.000,1.000,1.000,170041.950
0.000,571.000,44.000,9.000,0.000,2.000,0.000,0.000,38433.350
0.000,574.000,43.000,3.000,141349.430,1.000,1.000,1.000,100187.430
0.000,411.000,29.000,0.000,59697.170,2.000,1.000,1.000,53483.210
1.000,591.000,39.000,3.000,0.000,3.000,1.000,0.000,140469.380
0.000,533.000,36.000,7.000,85311.700,1.000,0.000,1.000,156731.910
0.000,553.000,41.000,9.000,110112.540,2.000,0.000,0.000,81898.810
0.000,520.000,42.000,6.000,0.000,2.000,1.000,1.000,34410.550
0.000,722.000,29.000,9.000,0.000,2.000,1.000,1.000,142033.070
1.000,475.000,45.000,0.000,134264.040,1.000,1.000,0.000,27822.990
0.000,490.000,31.000,3.000,145260.230,1.000,0.000,1.000,114066.770
0.000,804.000,33.000,7.000,76548.600,1.000,0.000,1.000,98453.450
0.000,850.000,36.000,7.000,0.000,1.000,1.000,1.000,40812.900
0.000,582.000,41.000,6.000,70349.480,2.000,0.000,1.000,178074.040
0.000,472.000,40.000,4.000,0.000,1.000,1.000,0.000,70154.220
1.000,465.000,51.000,8.000,122522.320,1.000,0.000,0.000,181297.650
0.000,556.000,61.000,2.000,117419.350,1.000,1.000,1.000,94153.830
1.000,834.000,49.000,2.000,131394.560,1.000,0.000,0.000,194365.760
0.000,660.000,61.000,5.000,155931.110,1.000,1.000,1.000,158338.390
0.000,776.000,32.000,4.000,109421.130,2.000,1.000,1.000,126517.460
1.000,829.000,27.000,9.000,112045.670,1.000,1.000,1.000,119708.210
1.000,637.000,39.000,9.000,137843.800,1.000,1.000,1.000,117622.800
0.000,550.000,38.000,2.000,103391.380,1.000,0.000,1.000,90878.130
0.000,776.000,37.000,2.000,103769.220,2.000,1.000,0.000,194099.120
0.000,698.000,44.000,10.000,116363.370,2.000,1.000,0.000,198059.160
0.000,585.000,36.000,5.000,146050.970,2.000,0.000,0.000,86424.570
0.000,788.000,33.000,5.000,0.000,2.000,0.000,0.000,116978.190
1.000,655.000,41.000,8.000,125561.970,1.000,0.000,0.000,164040.940
1.000,601.000,42.000,1.000,98495.720,1.000,1.000,0.000,40014.760
0.000,619.000,43.000,1.000,125211.920,1.000,1.000,1.000,113410.490
